epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,506.457,0.83913,0.96056,1.19525,0.66344,0.46965,0.56588,0.39369,1.23734,1.64665,1.57694,0.000517059,0.000517059,0.000517059
56,515.87,0.84062,0.92426,1.20403,0.63038,0.50086,0.57293,0.41556,1.21937,1.59527,1.55557,0.00050606,0.00050606,0.00050606
57,523.886,0.82865,0.94642,1.19043,0.57106,0.55141,0.58111,0.42051,1.21063,1.58315,1.51465,0.000495062,0.000495062,0.000495062
58,533.115,0.7964,0.92736,1.1795,0.62857,0.57716,0.58368,0.4357,1.16805,1.52342,1.5182,0.000484063,0.000484063,0.000484063
59,542.626,0.80858,0.8999,1.17642,0.55487,0.52229,0.555,0.40805,1.18801,1.59492,1.51676,0.000473064,0.000473064,0.000473064
60,550.914,0.81577,0.88437,1.16842,0.54473,0.5629,0.57332,0.41148,1.19361,1.51629,1.52523,0.000462065,0.000462065,0.000462065
61,560.162,0.79684,0.86299,1.16609,0.64963,0.53165,0.58371,0.42442,1.16654,1.48394,1.49975,0.000451066,0.000451066,0.000451066
62,569.775,0.77305,0.86185,1.16657,0.62832,0.53185,0.56262,0.40751,1.19302,1.58096,1.52839,0.000440067,0.000440067,0.000440067
63,578.135,0.80401,0.91124,1.1679,0.67739,0.47345,0.52166,0.37714,1.19171,1.61351,1.54177,0.000429068,0.000429068,0.000429068
64,587.332,0.79469,0.84998,1.17749,0.47808,0.62748,0.54511,0.40238,1.20923,1.58523,1.54302,0.000418069,0.000418069,0.000418069
65,596.821,0.7762,0.8602,1.13839,0.6471,0.51151,0.56308,0.41378,1.22683,1.58352,1.58236,0.00040707,0.00040707,0.00040707
66,605.047,0.76549,0.81652,1.15294,0.5296,0.58917,0.54921,0.39761,1.2577,1.69162,1.6163,0.000396071,0.000396071,0.000396071
67,614.542,0.76752,0.81304,1.13388,0.62808,0.51058,0.55564,0.40805,1.23612,1.58984,1.56926,0.000385073,0.000385073,0.000385073
68,623.859,0.78336,0.86072,1.17032,0.62943,0.52778,0.56305,0.40805,1.25755,1.61633,1.608,0.000374074,0.000374074,0.000374074
69,632.375,0.76596,0.82517,1.15062,0.60388,0.53798,0.57503,0.40959,1.20522,1.58999,1.55433,0.000363075,0.000363075,0.000363075
70,641.615,0.75688,0.80269,1.13481,0.67531,0.51946,0.59491,0.43548,1.1892,1.52085,1.58144,0.000352076,0.000352076,0.000352076
71,651.174,0.72166,0.7578,1.11861,0.6176,0.5436,0.57391,0.4199,1.20826,1.56878,1.56809,0.000341077,0.000341077,0.000341077
72,659.486,0.74086,0.7649,1.14814,0.6833,0.55854,0.56989,0.41386,1.20601,1.52957,1.55799,0.000330078,0.000330078,0.000330078
73,668.947,0.75151,0.78727,1.13427,0.64703,0.51296,0.56509,0.41546,1.18257,1.53773,1.54072,0.000319079,0.000319079,0.000319079
74,678.254,0.7275,0.78535,1.1295,0.59079,0.56974,0.5698,0.41266,1.15631,1.59194,1.53468,0.00030808,0.00030808,0.00030808
75,687.195,0.73574,0.7605,1.12651,0.64935,0.52397,0.54597,0.40085,1.16884,1.55314,1.52864,0.000297081,0.000297081,0.000297081
76,696.053,0.71892,0.76756,1.11254,0.59001,0.59764,0.54734,0.40641,1.17626,1.52689,1.54773,0.000286083,0.000286083,0.000286083
77,705.514,0.71092,0.75165,1.11089,0.5941,0.5589,0.55866,0.40773,1.20441,1.59163,1.59949,0.000275084,0.000275084,0.000275084
78,714.944,0.6709,0.68369,1.07949,0.55831,0.59096,0.54011,0.39596,1.16461,1.55891,1.53434,0.000264085,0.000264085,0.000264085
79,723.689,0.69519,0.69505,1.11141,0.53133,0.60236,0.54926,0.39753,1.19355,1.59672,1.5481,0.000253086,0.000253086,0.000253086
80,733.08,0.71559,0.71705,1.10672,0.61817,0.58964,0.56729,0.40312,1.20628,1.57252,1.55285,0.000242087,0.000242087,0.000242087
81,742.747,0.68562,0.69053,1.09283,0.6363,0.57468,0.59197,0.43328,1.169,1.53134,1.5265,0.000231088,0.000231088,0.000231088
82,751.261,0.68057,0.71364,1.09347,0.65571,0.53806,0.59175,0.42932,1.18077,1.53798,1.55484,0.000220089,0.000220089,0.000220089
83,760.722,0.67859,0.71341,1.10416,0.61737,0.57968,0.59513,0.42835,1.19109,1.49967,1.57306,0.00020909,0.00020909,0.00020909
84,770.078,0.68156,0.66748,1.08316,0.66012,0.57741,0.58702,0.42987,1.1539,1.49396,1.5266,0.000198091,0.000198091,0.000198091
85,778.973,0.68645,0.70504,1.09696,0.69668,0.54328,0.59225,0.43904,1.14346,1.45276,1.5145,0.000187092,0.000187092,0.000187092
86,788.147,0.68013,0.66639,1.07744,0.6154,0.62116,0.58829,0.43346,1.15075,1.48794,1.53609,0.000176094,0.000176094,0.000176094
87,797.891,0.68057,0.67642,1.09508,0.62344,0.56445,0.59789,0.44035,1.1444,1.50825,1.5059,0.000165095,0.000165095,0.000165095
88,807.167,0.68416,0.67956,1.10222,0.64325,0.56398,0.59186,0.43409,1.16902,1.53323,1.54807,0.000154096,0.000154096,0.000154096
89,815.61,0.6498,0.66323,1.07745,0.6093,0.60188,0.59732,0.43836,1.1698,1.51061,1.55437,0.000143097,0.000143097,0.000143097
